Rank,Rikishi,Rank,Last Basho Wins,Last Basho Losses,Last Basho Absences,Listed Weight (LBs),Listed Height (Inch),Age,Times Picked last tourney,Ranking Group
1,Onosato,Yokozuna 1 East,11,4,0,403.3,75.6,25.3,7,Yellow
2,Hoshoryu,Yokozuna 1 West,1,4,10,328.4,74.0,26.3,8,Yellow
3,Kotozakura,Ozeki 1 East,8,7,0,385.7,74.4,27.8,2,Yellow
4,Kirishima,Sekiwake 1 West,8,7,0,319.6,73.2,29.4,6,Blue
5,Wakatakakage,Sekiwake 1 East,10,5,0,301.9,72.0,30.8,12,Blue
6,Aonishiki,Komusubi 1 West,11,4,0,299.7,71.7,21.5,3,Blue
7,Takayasu,Komusubi 1 East,10,5,0,383.5,74.0,35.5,4,Blue
8,Abi,Maegashira 1 West,9,6,0,365.9,74.0,31.4,0,Blue
9,Tamawashi,Maegashira 1 East,11,4,0,390.1,74.0,40.8,0,Blue
10,Oho,Maegashira 2 West,7,8,0,394.5,74.8,25.6,4,Blue
11,Hakuoho,Maegashira 2 East,8,7,0,352.6,71.3,22.1,0,Blue
12,Gonoyama,Maegashira 3 West,9,6,0,352.6,70.1,27.4,2,Blue
13,Atamifuji,Maegashira 3 East,11,4,0,407.7,73.2,23.0,2,Blue
14,Wakamotoharu,Maegashira 4 West,6,9,0,321.8,73.6,31.9,2,Blue
15,Hiradoumi,Maegashira 4 East,8,7,0,297.5,70.1,25.4,0,Blue
16,Ichiyamamoto,Maegashira 5 West,9,6,0,337.2,74.0,32.0,3,Blue
17,Kotoshoho,Maegashira 5 East,13,2,0,372.5,74.8,26.0,1,Blue
18,Kusano,Maegashira 6 West,11,4,0,330.6,72.4,24.2,4,Green
19,Onokatsu,Maegashira 6 East,6,9,0,359.3,72.8,25.4,1,Green
20,Oshoma,Maegashira 7 West,3,12,0,363.7,74.8,28.4,3,Green
21,Takanosho,Maegashira 7 East,9,6,0,374.7,72.4,30.8,3,Green
22,Kinbozan,Maegashira 8 West,4,11,0,387.9,76.8,28.2,1,Green
23,Ura,Maegashira 8 East,8,6,1,308.6,68.9,33.2,4,Green
24,Fujinokawa,Maegashira 9 West,10,5,0,240.2,68.9,20.6,2,Green
25,Midorifuji,Maegashira 9 East,9,6,0,253.5,68.5,29.0,3,Green
26,Churanoumi,Maegashira 10 West,9,6,0,313.0,70.1,32.4,0,Green
27,Daieisho,Maegashira 10 East,0,0,15,363.7,71.7,31.8,0,Green
28,Roga,Maegashira 11 West,7,8,0,346.0,72.4,26.5,2,Green
29,Shodai,Maegashira 11 East,9,6,0,379.1,72.4,33.9,0,Green
30,Mitakeumi,Maegashira 12 West,10,5,0,379.1,70.5,32.7,1,Green
31,Takerufuji,Maegashira 12 East,5,8,2,326.2,72.4,26.4,6,Green
32,Tokihayate,Maegashira 13 West,6,9,0,306.4,70.5,29.1,1,Green
33,Meisei,Maegashira 13 East,3,12,0,335.0,70.9,30.1,1,White
34,Asakoryu,Maegashira 14 West,6,9,0,271.1,70.1,27.0,3,White
35,Sadanoumi,Maegashira 14 East,4,11,0,289.2,72.4,38.4,2,White
36,Shonannoumi,Maegashira 15 West,0,0,0,403.3,76.4,27.4,0,White
37,Tobizaru,Maegashira 15 East,3,10,2,295.3,68.1,33.4,1,White
38,Nishikigi,Maegashira 16 West,0,0,0,409.9,73.2,35.1,0,White
39,Tomokaze,Maegashira 16 East,0,0,0,370.3,72.0,30.8,0,White
40,Hitoshi,Maegashira 17 West,0,0,0,306.4,71.3,28.1,0,White
41,Ryuden,Maegashira 17 East,0,0,0,348.2,74.4,34.8,0,White
42,Shishi,Maegashira 18 East,7,8,0,365.9,76.0,28.7,5,White
