Rank,Rikishi,Ranking Group,Rank,Last Basho Wins,Last Basho Losses,Last Basho Absences
1,Onosato,Yellow,Yokozuna 1 East,11,4,0
2,Hoshoryu,Yellow,Yokozuna 1 West,1,4,10
3,Kotozakura,Yellow,Ozeki 1 East,8,7,0
4,Kirishima,Blue,Sekiwake 1 West,8,7,0
5,Wakatakakage,Blue,Sekiwake 1 East,10,5,0
6,Aonishiki,Blue,Komusubi 1 West,11,4,0
7,Takayasu,Blue,Komusubi 1 East,10,5,0
8,Abi,Blue,Maegashira 1 West,9,6,0
9,Tamawashi,Blue,Maegashira 1 East,11,4,0
10,Oho,Blue,Maegashira 2 West,7,8,0
11,Hakuoho,Blue,Maegashira 2 East,8,7,0
12,Gonoyama,Blue,Maegashira 3 West,9,6,0
13,Atamifuji,Blue,Maegashira 3 East,11,4,0
14,Wakamotoharu,Blue,Maegashira 4 West,6,9,0
15,Hiradoumi,Blue,Maegashira 4 East,8,7,0
16,Ichiyamamoto,Blue,Maegashira 5 West,9,6,0
17,Kotoshoho,Blue,Maegashira 5 East,13,2,0
18,Kusano,Green,Maegashira 6 West,11,4,0
19,Onokatsu,Green,Maegashira 6 East,6,9,0
20,Oshoma,Green,Maegashira 7 West,3,12,0
21,Takanosho,Green,Maegashira 7 East,9,6,0
22,Kinbozan,Green,Maegashira 8 West,4,11,0
23,Ura,Green,Maegashira 8 East,8,6,1
24,Fujinokawa,Green,Maegashira 9 West,10,5,0
25,Midorifuji,Green,Maegashira 9 East,9,6,0
26,Churanoumi,Green,Maegashira 10 West,9,6,0
27,Daieisho,Green,Maegashira 10 East,0,0,15
28,Roga,Green,Maegashira 11 West,7,8,0
29,Shodai,Green,Maegashira 11 East,9,6,0
30,Mitakeumi,Green,Maegashira 12 West,10,5,0
31,Takerufuji,Green,Maegashira 12 East,5,8,2
32,Tokihayate,Green,Maegashira 13 West,6,9,0
33,Meisei,White,Maegashira 13 East,3,12,0
34,Asakoryu,White,Maegashira 14 West,6,9,0
35,Sadanoumi,White,Maegashira 14 East,4,11,0
36,Shonannoumi,White,Maegashira 15 West,0,0,0
37,Tobizaru,White,Maegashira 15 East,3,10,2
38,Nishikigi,White,Maegashira 16 West,0,0,0
39,Tomokaze,White,Maegashira 16 East,0,0,0
40,Hitoshi,White,Maegashira 17 West,0,0,0
41,Ryuden,White,Maegashira 17 East,0,0,0
42,Shishi,White,Maegashira 18 East,7,8,0
