Rank,id,Rikishi,Ranking Group,Value,$ Value,Rank,Wins,Losses,absences,Prize box,Last Tourney Wins,Last Tourney Losses,Last Tourney Absences,Listed Weight (LBs),Listed Height (Inch),Age,Birthday,Times Picked,Ozeki Watch (Wins Needed),This + last 2 tourneys wins,Jan Wins,March Wins,This and last,Days left this tourney,Birthday RD,This and last tourney,Ozeki Watch
1,19,Hoshoryu,Yellow,101,10,Yokozuna 1 East,1,0,0,0,3,2,0,288.7,73.2,26.2,5/22/1999,8,15,18,12,5,17,14,1999-05-22T00:00:00Z,6,27
2,8850,Onosato,Yellow,101,7,Yokozuna 1 West,1,0,0,0,5,0,0,390.1,75.6,25.1,6/7/2000,7,10,23,10,12,22,14,2000-06-07T00:00:00Z,13,20
3,20,Kotozakura,Yellow,201,6,Ozeki 1 East,0,1,0,0,3,2,0,365.9,74.0,27.7,11/19/1997,2,20,13,5,8,13,14,1997-11-19T00:00:00Z,8,25
4,9,Daieisho,Blue,301,8,Sekiwake 1 East,0,0,1,0,5,0,0,299.1,70.5,31.7,11/10/1993,0,13,20,11,9,20,14,1993-11-10T00:00:00Z,9,24
5,7,Kirishima,Blue,301,8,Sekiwake 1 West,1,0,0,0,3,2,0,304.2,73.6,29.3,4/24/1996,6,13,20,11,8,19,14,1996-04-24T00:00:00Z,9,24
6,12,Wakatakakage,Blue,302,7,Sekiwake 2 West,1,0,0,0,4,1,0,284.3,70.9,30.6,12/6/1994,12,16,17,7,9,16,14,1994-12-06T00:00:00Z,10,23
7,61,Oshoma,Blue,401,7,Komusubi 1 East,0,1,0,0,2,3,0,330.6,73.6,28.3,4/9/1997,3,16,17,8,9,17,14,1997-04-09T00:00:00Z,9,24
8,44,Takayasu,Blue,401,6,Komusubi 1 West,0,1,0,0,1,4,0,359.3,73.6,35.4,2/28/1990,4,13,20,8,12,20,14,1990-02-28T00:00:00Z,12,21
9,8854,Aonishiki,Blue,501,6,Maegashira 1 East,1,0,0,0,4,1,0,275.5,70.9,21.3,3/23/2004,3,#VALUE!,#VALUE!,Non-Participant,11,#VALUE!,14,2004-03-23T00:00:00Z,12,21
10,13,Wakamotoharu,Blue,501,6,Maegashira 1 West,0,1,0,0,1,4,0,315.2,73.6,31.8,10/5/1993,2,18,15,6,9,15,14,1993-10-05T00:00:00Z,9,24
11,41,Oho,Blue,502,6,Maegashira 2 East,0,1,0,0,3,2,0,374.7,75.2,25.4,2/14/2000,4,15,18,12,6,18,14,2000-02-14T00:00:00Z,6,27
12,22,Abi,Blue,502,5,Maegashira 2 West,1,0,0,0,2,3,0,328.4,74.0,31.2,5/4/1994,0,19,14,7,6,13,14,1994-05-04T00:00:00Z,7,26
13,8853,Onokatsu,Blue,503,5,Maegashira 3 East,0,1,0,0,3,2,0,332.8,72.8,25.2,5/5/2000,1,16,17,7,10,17,14,2000-05-05T00:00:00Z,10,23
14,50,Kinbozan,Blue,503,5,Maegashira 3 West,1,0,0,0,3,2,0,363.7,75.2,28.1,6/24/1997,1,14,19,12,6,18,14,1997-06-24T00:00:00Z,7,26
15,3,Hakuoho,Blue,504,5,Maegashira 4 East,0,1,0,0,5,0,0,343.8,70.5,21.9,8/22/2003,0,14,19,10,9,19,14,2003-08-22T00:00:00Z,9,24
16,14,Tamawashi,Blue,504,5,Maegashira 4 West,1,0,0,0,2,3,0,354.8,74.8,40.7,11/16/1984,0,13,20,9,10,19,14,1984-11-16T00:00:00Z,11,22
17,24,Hiradoumi,Green,505,6,Maegashira 5 East,0,1,0,0,2,3,0,284.3,69.7,25.3,4/20/2000,0,17,16,7,9,16,14,2000-04-20T00:00:00Z,9,24
18,38,Meisei,Green,505,6,Maegashira 5 West,0,1,0,0,3,2,0,332.8,70.9,30.0,7/24/1995,1,18,15,6,9,15,14,1995-07-24T00:00:00Z,9,24
19,5,Takerufuji,Green,506,6,Maegashira 6 East,1,0,0,0,3,2,0,310.8,72.0,26.3,4/9/1999,6,13,20,10,9,19,14,1999-04-09T00:00:00Z,10,23
20,56,Gonoyama,Green,506,6,Maegashira 6 West,1,0,0,0,0,5,0,341.6,69.3,27.3,4/7/1998,2,17,16,8,7,15,14,1998-04-07T00:00:00Z,8,25
21,21,Tobizaru,Green,507,5,Maegashira 7 East,0,1,0,0,3,2,0,288.7,68.9,33.3,4/24/1992,1,20,13,7,6,13,14,1992-04-24T00:00:00Z,6,27
22,17,Endo,Green,507,5,Maegashira 7 West,0,0,1,0,4,1,0,320.9,72.0,34.8,10/19/1990,0,20,13,6,7,13,14,1990-10-19T00:00:00Z,7,26
23,35,Sadanoumi,Green,508,5,Maegashira 8 East,0,1,0,0,3,2,0,289.2,72.4,38.2,5/11/1987,2,#VALUE!,#VALUE!,Non-Participant,8,#VALUE!,14,1987-05-11T00:00:00Z,8,25
24,11,Ichiyamamoto,Green,508,5,Maegashira 8 West,1,0,0,0,3,2,0,293.1,73.6,31.8,10/1/1993,3,17,16,8,7,15,14,1993-10-01T00:00:00Z,8,25
25,28,Ura,Green,509,5,Maegashira 9 East,1,0,0,0,1,4,0,299.7,68.9,33.1,6/22/1992,4,18,15,7,7,14,14,1992-06-22T00:00:00Z,8,25
26,39,Chiyoshoma,Green,509,5,Maegashira 9 West,0,1,0,0,0,5,0,260.5,72.0,34.0,7/20/1991,3,18,15,9,6,15,14,1991-07-20T00:00:00Z,6,27
27,74,Atamifuji,Green,510,4,Maegashira 10 East,0,1,0,0,3,2,0,365.9,72.8,22.9,9/3/2002,2,22,11,5,6,11,14,2002-09-03T00:00:00Z,6,27
28,55,Roga,Green,510,4,Maegashira 10 West,1,0,0,0,4,1,0,315.2,72.4,26.4,3/2/1999,2,#VALUE!,#VALUE!,0,Non-Participant,#VALUE!,14,1999-03-02T00:00:00Z,#VALUE!,#VALUE!
29,37,Takanosho,Green,511,4,Maegashira 11 East,1,0,0,0,3,2,0,283.2,71.5,30.7,11/14/1994,3,23,10,6,3,9,14,1994-11-14T00:00:00Z,4,29
30,83,Tokihayate,Green,511,4,Maegashira 11 West,0,1,0,0,2,3,0,260.1,70.1,28.9,8/25/1996,1,16,17,7,10,17,14,1996-08-25T00:00:00Z,10,23
31,34,Midorifuji,Green,512,4,Maegashira 12 East,1,0,0,0,0,5,0,251.3,67.3,28.9,8/30/1996,3,16,17,7,9,16,14,1996-08-30T00:00:00Z,10,23
32,164,Asakoryu,Green,512,4,Maegashira 12 West,0,1,0,0,4,1,0,264.5,69.3,26.8,9/24/1998,3,#VALUE!,#VALUE!,Non-Participant,6,#VALUE!,14,1998-09-24T00:00:00Z,6,27
33,71,Churanoumi,White,513,5,Maegashira 13 East,0,1,0,0,1,4,0,286.5,69.3,32.2,5/6/1993,0,18,15,4,11,15,14,1993-05-06T00:00:00Z,11,22
34,33,Shodai,White,513,5,Maegashira 13 West,1,0,0,0,2,3,0,330.6,71.7,33.7,11/5/1991,0,20,13,6,6,12,14,1991-11-05T00:00:00Z,7,26
35,8857,Kusano,White,514,5,Maegashira 14 East,1,0,0,0,0,0,0,330.6,72.4,24.1,6/25/2001,4,#VALUE!,#VALUE!,Non-Participant,Non-Participant,#VALUE!,14,2001-06-25T00:00:00Z,#VALUE!,#VALUE!
36,615,Fujinokawa,White,514,5,Maegashira 14 West,0,0,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,NA,2,#VALUE!,#VALUE!,Non-Participant,Non-Participant,#VALUE!,15,NA,#VALUE!,#VALUE!
37,8,Kotoshoho,White,515,4,Maegashira 15 East,1,0,0,0,0,0,5,317.4,74.0,25.9,8/26/1999,1,19,14,5,8,13,14,1999-08-26T00:00:00Z,9,24
38,60,Hidenoumi,White,515,4,Maegashira 15 West,0,1,0,0,0,0,0,343.8,72.8,36.1,6/11/1989,0,#VALUE!,#VALUE!,Non-Participant,Non-Participant,#VALUE!,14,1989-06-11T00:00:00Z,#VALUE!,#VALUE!
39,142,Kayo,White,516,3,Maegashira 16 East,0,1,0,0,1,4,0,321.8,66.5,26.0,7/14/1999,0,#VALUE!,#VALUE!,Non-Participant,Non-Participant,#VALUE!,14,1999-07-14T00:00:00Z,#VALUE!,#VALUE!
40,26,Mitakeumi,White,516,3,Maegashira 16 West,1,0,0,0,0,0,0,379.1,70.5,32.6,12/25/1992,1,24,9,2,6,8,14,1992-12-25T00:00:00Z,7,26
